,pertanyaan,jawaban,skor
0,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search berjalan dengan mempertimbangkan nilai heuristik sehingga hasil yang didapat dapat mencapai cost yang minimal namun kelemahannya yaitu pada beberapa kasus informed search membutuhkan waktu yang lebih lama,0.88
1,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya informed search selaluau lebih baik dibandingkan uninformend search karena informed search banyak permasalahan dapat diselesaikan sedangkan uninformed search tidak bisa menyelesaikan permaasalahan uninformed search hanya sebatas mendefinisikan alogoritma permasalahan tersebut,0.8
2,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena informed search menggunakan pengetahuan yang spesifik kepada masalah yang dihadapi jadi dengan pengetahuan yang telah dimengerti proses pencarian menjadi lebih cepat dan mudah,0.82
3,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,karena pada informed search terdapat perhitungan estimation cost danatau actual cost sehingga solusi yang ditemukan selalu optimal sedangkan pada uninformed search hanya akan optimal jika path cost memiliki nilai yang sama saja,0.8
4,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena pencarian menggunakan informed search menggunakan metode yang disebut heuristik dimana knowledge yang spesifik pada permasalahan yang dihadapi daripada metode uniformed search,0.85
5,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya informed search menggunakan lebih banyak pertimbangan dibandingkan uninformed search misalnya harga path dan jarak antara node dengan goal sedangkan uninformed search mencoba semua jalur yang ada sehingga waktu yang diperlukan banyak bahkan belum tentu mencapai goal jika branch atau depth nya infinite,0.9
6,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,tidak semua kasus permasalahan dapat lebih baik digunakan dengan informed search karena terdapat beberapa kasus permasalahan juga yang dapat diselesaikan dengan lebih baik menggunakan uninformed search jadi setiap kasus permasalahan memiliki cara yang efektif dan efisien masingmasing baik itu uninformed maupun informed,0.92
7,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search mempunyai informasi tambahan sehingga akan lebih spesifik sedangkan uninformed search tidak sehingga sering disebut juga dengan blind search walaupun uninformed search dapat memecahkan masalah informed search akan lebih efisien,0.9
8,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search lebih baik dibandingkan uninformed search karena pencarian algoritma informed search menggunakan pengetahuan yang spesifik terhadap masalah yang dihadapi dan metode yang digunakan lebih sedikit dibandingkan uninformed search,0.82
9,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya karena informed search dengan bantuan informasi tambahan yang dimiliki pasti akan menemukan solusi lebih cepat,0.82
