,pertanyaan,jawaban,penilai 1,penilai 2
0,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching memberikan nilai awal sedangkan non iterative searching tidak memberikan nilai awal pada pencarian,60,50
1,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah pencarian yang dilakukan secara berulang dant erus menerus hingga sampai pada solusi ditemukan dan dievaluasi non iterative searchin adalah pencarian yang dilakukan secar atidak berulang atau non iterative,90,70
2,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching biasanya digunakan untuk percarian masalah yang bukan berupa path sedangkan non iteratif searching biasanya digunakan untuk pencarian masalah yang berupa path,80,50
4,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching tidak dapat digunakan untuk menyelesaikan suatu permasalahan yang mencari sebuah path iterative search digunakan untuk mencari goal state yang berbentuk state memenuhi goal test yang ditentukan dengan bantuan fungsi heuristic sedangkan untuk non iterative searching merupakan sebaliknya,80,85
5,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching digunakan untuk pencarian secara iteratif atau menghasilkan berupa pathrangkaian sementara noniterative searching digunakan untuk pencarian yang tidak menghasilkan path,60,60
6,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah pencarian berulang biasanya akan dapat menemukan lebih banyak kesamaan jarak jauh dengan urutan kueri daripada pencarian urutan tunggal,80,50
7,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative menggunakan hitungan dari awal sampe akhir sedangkan non iterative tidak,60,50
8,jelaskan perbedaan antara iterative searching dan non iterative searching,pada iterative searching dilakukan secara rekursif dan bertahap sedangkan non iterative akan memanggil fungsinya kembali,65,60
9,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan a iteratif menggunakan for while dowhile sedangkan rekursif hanya menggunakan if b iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan rekursif merupakan fungsi,80,60
10,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search dapat mencari masalah yang tidak memiliki path sedankan non iterative membutuhkan persoalan yang mempunyai path,65,85
11,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif searching digunakan untuk pencarian masalah yang bukan merupakan path lalu non iteratif searching digunakan untuk pencarian masalah karena cara kerjanya merupakan pemanggilan berulang dirinya sendiri untuk mencari pemecahan masalah terbaik,80,70
12,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaanya dalam hal tujuan penggunaan non interative searching berguna untuk masalah yang mempunyai path sedangkan iterative searching berguna untuk masalah yang tidak mempunyai path seperti puzzle catur tumpukan,85,90
13,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative,5,5
14,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search adalah sebuah jenis search yang akan terus mengihitung kemungkinan sampai ditemukannya goal state dalam iterative search solusi tidak selalu berupa path karena dapat mencoba untuk mencari benefit terbanyak atau cost terendah noniterative search adalah search yang tidak diulangulang hingga menemukan solusi terbaik sehingga tidak melalui trial and error pada noniterative search dicarikan path untuk mencapai goal state,85,95
15,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif searching lebih efisien daripada non iteratif searching untuk kompleksitas waktu kedua algoritma memiliki kompleksitas sebesar olog n namun binary search iteratif cenderung memiliki faktor konstan yang lebih rendah binary search rekursif menghasilkan waktu eksekusi lebih lama dan penggunaan memori yang lebih besar jika dibandingkan dengan binary search iteratif yang menghasilkan waktu eksekusi dan penggunaan memori yang lebih kecil,70,60
16,jelaskan perbedaan antara iterative searching dan non iterative searching,iteravtive searching melakukan prinsip iterasi loop untuk mencari suatu node yang diinginkan sedangkan non iteratif searching tidak menggunakan iterasi untuk mencari node,80,70
17,jelaskan perbedaan antara iterative searching dan non iterative searching,heruristik nya ditentukan huristik,30,20
18,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif menggunakan for while dowhile sedangkan non iteratif searching hanya menggunakan if iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan non iteratif searching merupakan fungsi,80,70
19,jelaskan perbedaan antara iterative searching dan non iterative searching,interatif searching digunakan untuk pencarian masalah yang bukan berupa path biasnya melakukan perulangan suatu kelompok semuanya sedangkan non iteratif biasanya ditujukan unutk mencari path dari suatu node biasaya memanggil dirinya sendiri berkali2 dan kadang sulit dipahami,80,90
20,jelaskan perbedaan antara iterative searching dan non iterative searching,non iteratif searching lebih terpaku pada path dan goal state sedangkan iteratif searching lebih terpaku pada state,70,80
21,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching iterative search merupakan sebuah strategi umum yang biasanya dikombinasikan dengan depth first tree search yang akan menemukan berapa depth limit terbaik untuk digunakan hal ini dilakukan dengan secara menambah limit secara bertahap mulai dari 01 2 dan seterusnya sampai goal sudah ditemukan non iteratif search yang tidak dapat diberlakukan berulang ulang hingga state goal ditemukan,50,50
22,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative merupakan suatu teknik pembuatan algoritma dengan pemanggilan procedure beberapa kali atau hingga suatu kondisi tertentu terpenuhi sedangkan non iterative,50,60
23,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah proses perulangan pada saat melakukan searching sedangkan non iterative tidak melakukan proses perulangan pada saat melakukan searching,90,70
24,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif search adalah pencarian yang dilakukan secara berkalikali melalui fungsi seperti loop atau while sementara non iteratif adalah pencarian yang tidak menggunakan pengulangan fungsi pengulangan,90,70
25,jelaskan perbedaan antara iterative searching dan non iterative searching,pada iterative searching posisi akhir belum tentu di goal state tetapi pada non iterative sudah pasti jalurnya dari initial state sampai ke goal state,85,80
26,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching merupakan metode pencarian berulang ulang sedangkan non iterative searching merupakan metode pencarian tidak berulang atau hanya sekali saja,85,70
27,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search biasa digunakan untuk percarian masalah yang bukan berupa path sedangkan non iterative untuk probelm yang berupa path,90,90
28,jelaskan perbedaan antara iterative searching dan non iterative searching,searching iteratif merupakan perulangan yang melakukan proses perulangan terhadap sekelompok intruksi perulangan dilakukan dalam batasan syarat tertentu ketika syarat tersebut tidak terpenuhi lagi maka perulangan akan terhenti non iteratif searching tidak perulangan yang melakukan proses perulangan terhadap sekelompok intruksi contohnya adalah rekursif yang memanggil fungsinya sendiri secara berulangulang,85,80
29,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching merupakan metode searching untuk sebuah permasalahan yang bukan path metode in ijuga sebuah strategi umum yang biasanya dikombinasikan dengan depth first tree search yang akan menemukan berapa depth limit terbaik untuk digunakan non iterartice searching merupakan algortima kebalikna dari iterative,85,80
30,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search terdapat 3 step anatara lain current state while current dan if else current non iterative searching adalah algoritma dengan menggunaka konsep tidak berulang secara iteratif jika sudah mencapai goal state maka akan lanjut ke state berikutnya dan tidak mengulang ke keadaan sebelumnya,85,80
31,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif menggunakan for while dowhile atau bisa dibilang merupakan pengulangan sedangkan noniterative hanya menggunakan if iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan noniterative merupakan fungsi,80,60
32,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search biasa digunakan untuk pencarian masalah yang bukan berupa path sedangkan non iterative search biasa digunakan untuk pencarian masalah berupa path,90,90
33,jelaskan perbedaan antara iterative searching dan non iterative searching,itterative biasa digunakan untuk percarian masalah yang bukan berupa path non itterative bisanya pencarian masalah yang berupa path,90,90
34,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search digunakan untuk melakukan pencarian masalah yang bukan berbentuk seperti alur atau path contoh hillclimbing search dan simulated annealing sedangkan non iterative searching merupakan pencarian masalah yang menggunakan path,90,90
35,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching pencarian masalah yang bukan berupa path noniterative searching pencarian masalah yang merupakan path,90,90
