,pertanyaan,jawaban,skor
0,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching memberikan nilai awal sedangkan non iterative searching tidak memberikan nilai awal pada pencarian,55.0
1,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah pencarian yang dilakukan secara berulang dant erus menerus hingga sampai pada solusi ditemukan dan dievaluasi non iterative searchin adalah pencarian yang dilakukan secar atidak berulang atau non iterative,80.0
2,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching biasanya digunakan untuk percarian masalah yang bukan berupa path sedangkan non iteratif searching biasanya digunakan untuk pencarian masalah yang berupa path,65.0
4,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching tidak dapat digunakan untuk menyelesaikan suatu permasalahan yang mencari sebuah path iterative search digunakan untuk mencari goal state yang berbentuk state memenuhi goal test yang ditentukan dengan bantuan fungsi heuristic sedangkan untuk non iterative searching merupakan sebaliknya,82.5
5,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching digunakan untuk pencarian secara iteratif atau menghasilkan berupa pathrangkaian sementara noniterative searching digunakan untuk pencarian yang tidak menghasilkan path,60.0
6,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah pencarian berulang biasanya akan dapat menemukan lebih banyak kesamaan jarak jauh dengan urutan kueri daripada pencarian urutan tunggal,65.0
7,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative menggunakan hitungan dari awal sampe akhir sedangkan non iterative tidak,55.0
8,jelaskan perbedaan antara iterative searching dan non iterative searching,pada iterative searching dilakukan secara rekursif dan bertahap sedangkan non iterative akan memanggil fungsinya kembali,62.5
9,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan a iteratif menggunakan for while dowhile sedangkan rekursif hanya menggunakan if b iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan rekursif merupakan fungsi,70.0
10,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search dapat mencari masalah yang tidak memiliki path sedankan non iterative membutuhkan persoalan yang mempunyai path,75.0
11,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif searching digunakan untuk pencarian masalah yang bukan merupakan path lalu non iteratif searching digunakan untuk pencarian masalah karena cara kerjanya merupakan pemanggilan berulang dirinya sendiri untuk mencari pemecahan masalah terbaik,75.0
12,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaanya dalam hal tujuan penggunaan non interative searching berguna untuk masalah yang mempunyai path sedangkan iterative searching berguna untuk masalah yang tidak mempunyai path seperti puzzle catur tumpukan,87.5
13,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative,5.0
14,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search adalah sebuah jenis search yang akan terus mengihitung kemungkinan sampai ditemukannya goal state dalam iterative search solusi tidak selalu berupa path karena dapat mencoba untuk mencari benefit terbanyak atau cost terendah noniterative search adalah search yang tidak diulangulang hingga menemukan solusi terbaik sehingga tidak melalui trial and error pada noniterative search dicarikan path untuk mencapai goal state,90.0
15,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif searching lebih efisien daripada non iteratif searching untuk kompleksitas waktu kedua algoritma memiliki kompleksitas sebesar olog n namun binary search iteratif cenderung memiliki faktor konstan yang lebih rendah binary search rekursif menghasilkan waktu eksekusi lebih lama dan penggunaan memori yang lebih besar jika dibandingkan dengan binary search iteratif yang menghasilkan waktu eksekusi dan penggunaan memori yang lebih kecil,65.0
16,jelaskan perbedaan antara iterative searching dan non iterative searching,iteravtive searching melakukan prinsip iterasi loop untuk mencari suatu node yang diinginkan sedangkan non iteratif searching tidak menggunakan iterasi untuk mencari node,75.0
17,jelaskan perbedaan antara iterative searching dan non iterative searching,heruristik nya ditentukan huristik,25.0
18,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif menggunakan for while dowhile sedangkan non iteratif searching hanya menggunakan if iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan non iteratif searching merupakan fungsi,75.0
