,pertanyaan,jawaban,penilai 1,penilai 2
0,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama dalam sebuah penelitian

-Originality(Orisinalitas)

kemampuan untuk menghasilkan ide-ide yang luar biasa yang tidak umum. Pada penelitian ini, didapatkan hasil bahwa pada aspek orisinal sangat rendah dikarenakan kategori orisinalitas mengacu pada keunikan dari respon apapun yang diberikan. Orisinalitas yang ditunjukkan oleh sebuah respon yang tidak biasa, unik dan jarang terjadi.

- CONTRIBUTION (KONTRIBUSI) 

Adalah segala sesuatu yang dilaksanakan untuk membantu menghasilkan produk dengan menemukan metode atau masalah baru yang disempurnakan ataupun original atau menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

- NOVELTY (KETERBARUAN)

 unsur kebaruan dari sebuah penelitian. Artinya, penelitian diharapkan dapat menemukan hal-hal baru yang belum pernah dianalisis pada penelitian-penelitian sebelumnya.

Prinsip Novelty dapat kita temukan dari penelitian yang benar-benar baru (belum pernah diteliti sebelumnya).

.",5,6
1,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 Aspek utama dalam sebuah penelitian adalah 

1. Originalitas (ORIGINALITY) yaitu memecahkan suatu masalah yang belum pernah orang lain kerjakan sebelumnya 

2. Kontribusi (CONTRIBUTION) yaitu menemukan atau menghasilkan sebuah metode atau masalah baru yang sebelumnya tidak pernah digunakan orang

3. Keterbaruan (NOVELTY) yaitu terdapat unsur yang terbaru atau temuan dari sebuah penelitian, penelitian dapat dikatakan baik jika terdapat unsur temuan baru",6,6
2,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Aspek ORIGINALITY (ORISINALITAS) 

ORIGINALITY (ORISINALITAS) berarti Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya

2. Aspek CONTRIBUTION (KONTRIBUSI) 

CONTRIBUTION (KONTRIBUSI)  Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

3. Aspek NOVELTY (KETERBARUAN) adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru",6,5
3,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama yang harus dimiliki dalam sebuah penelitian adalah:

	* _Originality_ (Orisinalitas)

Orisinalitas ialah memecahkan suatu permasalahan yang belum pernah dikerjakan sebelumnya oleh siapapun. Orisinalitas dapat diartikan juga keaslian dari suatu penelitian.

	* _Contribution_ (Kontribusi)

Kontribusi ialah penerapan Metode ABC yang belum pernah dipakai sebelumnya oleh siapapun untuk memecahkan suatu masalah konvergensi. Metode ABC merupakan suatu metode mengenai sistem perencanaan biaya yang dikembangkan untuk mengantisipasi kelemahan-kelemahan yang ada.

	* _Novelty_ (Keterbaruan)

Keterbaruan ialah unsur temuan atau sesuatu yang baru dari sebuah penelitian yang dilakukan. Penelitian akan dinilai baik apabila bisa menemukan unsur temuan atau suatu hal yang baru.",6,5
4,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Penelitian harus memiliki orisinalitas (originality) dan kebaruan (novelty), serta menghasilkan kontribusi yang orisinil pada pengetahuan dalam bentuk menemukan dan merevisi fakta, teori dan aplikasi. Ada 3 aspek utama dalam riset yaitu, originality(orisinalitas), contribution(kontribusi), novelty(keterbaruan). 1. orisinalitas ORIGINALITY (ORISINALITAS) berarti Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya ● ORISINALITAS PADA METODE ○ Memecahkan masalah yang orang lain sudah pernah mengerjakan sebelumnya, tapi dengan metode yang berbeda ● ORISINALITAS PADA MASALAH ○ Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya ○ Model penelitian yang kontribusi ada pada penemuan masalah baru sebagai obyek penerapan metode 2. kontribusi disimpulkan bahwa pengertian dari kontribusi penelitian adalah kontribusi kepada pengetahuan yang mencakup penyempurnaan atau perbaikan yang dilaksanakan, atau kontribusi kepada orisinalitas/kebaruan pada penelitian yang sedang dilaksanakan. ● KONTRIBUSI PADA METODE ○ Penerapan Metode ABC dalam Pemecahan Masalah Konvergensi pada Metode Latent Dirichlet Allocation untuk Menentukan Harga Kebutuhan Pokok di Indonesia berdasarkan Sinyal Sosial Media ○ Kontribusi: Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi 3. Novelty Dalam penulisan karya ilmiah, sebuah pembaruan merupakan bagian penting bahkan menjadi unsur utama yang harus dipertimbangkan dalam menulis skripsi/tesis atau penelitian. Secara umum, pengertian dari novelty merupakan unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan. Sebagai contoh saat Anda membongkar skripsi, tesis, maupun disertasi di perpustakaan kampus, sadarkah Anda jika sebenarnya penelitian yang ada merupakan hasil penelitian yang sudah ada sebelumnya? Bahkan sebuah karya tulis ilmiah skripsi / tesis masih bisa dikatakan memiliki novelty walaupun melibatkan penelitian yang sama persis dengan penelitian sebelumnya.",8,7
5,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Tiga aspek utama yang harus dimiliki dalam sebuah penelitian adalah:

1. Originality (orisinalitas)

Hal yang pertama adalah orisinalitas baik dari masalah, ide, metode, dan penelitian yang dilakukan. Orisinalitas ini diperlukan supaya tidak ada plagiasi dan penelitian dapat terus berkembang untuk memecahkan persoalan baru atau perbaikan atas penelitian yang telah ada.

2. Contribution (kontribusi)

Hal yang kedua adalah kontribusi atas penelitian yang dilakukan, baik ke penemuan masalah baru ataupun pemecahan masalah baru yang nantinya akan berdampak pada penelitian berikutnya dan ke masyarakat secara tidak langsung.

3. Novelty (keterbaruan)

Hal yang ketiga adalah keterbaruan atas hasil atau temuan dari suatu penelitian. Aspek ini diperlukan supaya ditemukan hal baru baik dari persoalan ataupun solusi alternatif serta penelitian dapat terus berkembang.",6,7
6,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Aspek Utama dalam sebuah penelitian :

-Orisinalitas

Merupakan tingkan keaslian dalam penelitian. 

contoh:

Orisinalitas pada masalah, maka penulis harus memuat penelitan yang masalah nya tidak pernah diteliti.

Orisinalitas pada metode, maka penulis dapat memuat penelitian yang sama tetapi memakai metode yang berbeda.

-Kontribusi

Segala sesuatu yang dilaksanakan untuk membantu menghasilkan produk dengan menemukan metode baru.

-Novelty

 Temuan baru dari sebuah penelitian.  Jika menemukan unsur temuan baru, penelitian dapat dikatakan bagus",7,8
7,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Dalam Penelitian terdapat 3 aspek utama yaitu :

Originality (orisinalitas)
Memecahkan masalah yang orang lain sudah pernah mengerjakan sebelumnya tapi dengan metode yang berbeda ataupun memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya dalam hal ini harus berbeda dengan yang lain karena bersifat orisinil.

Contribution (kontribusi)
Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi ataupun segala sesuatu yang dilaksanakan untuk membantu menghasilkan produk dengan menemukan metode atau masalah baru yang disempurnakan ataupun original.

Novelty (Kebaruan)
Unsur kebaruan dari sebuah penelitian, artinya sebuah penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan.",8,8
8,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Aspek utama dalam penelitian :

1. Originality atau orisinalitas adalah suatu hal yang berarti penelitian harus  berlandaskan pada keaslian karya yang belum pernah ada atau sudah pernah ada tetapi dengan metode yang berbeda.  Orisinalitas terdapat beberapa hal yang dibutuhkan yaitu pada metode( orang lain sudah pernah mengerjakan tetapi dengan matode yang berbeda), masalah. (kontribusi pada penemuan masalah baru yang belum pernah ada sebelumnya)

2. Kontribusi adalah suatu hal dari sebuah penelitian, seberapa besar dampak atau kontribusi yang berlaku dalam sebuah penelitian, apa saja manfaat pengembangan penelitian baru bagi suatu lingkungan. penelitian dengan kontribusi mengandalkan data baru untuk memproses dan menyelesaikan sebuah masalah, sedangkan penelitian tanpa konstribusi digunakan dengan data yang sudah ada, dan kurang berdampak pada penyelesaian masalah. 

3. novelity atau keterbaruan adalah aspek yang berarti suatu penelitian harus menghasilkan metode dan dampak baru yang belum pernah ada sebelumnya, noveliti ini juga disebut sebagai sebuah inovasi dalam penelitian. Penelitian yang dihasilkan harus menghasilkan sebuah ide atau gagasan baru, dapat berupa perbaikan atau bahkan sistem baru dari penelitian sebelumnya. 

Antara ketiga aspek tersebut saling memiliki hubungan dalam implementasi sebuah penelitian, sehingga didapatkan sebuah penelitian yang akurat dan efektif. ",8,9
9,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"ORIGINALITY (ORISINALITAS) 

» Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya

CONTRIBUTION (KONTRIBUSI) 

» Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

NOVELTY (KETERBARUAN)

» Unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru",4,5
