,pertanyaan,jawaban,skor
0,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching memberikan nilai awal sedangkan non iterative searching tidak memberikan nilai awal pada pencarian,0.55
1,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah pencarian yang dilakukan secara berulang dant erus menerus hingga sampai pada solusi ditemukan dan dievaluasi non iterative searchin adalah pencarian yang dilakukan secar atidak berulang atau non iterative,0.8
2,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching biasanya digunakan untuk percarian masalah yang bukan berupa path sedangkan non iteratif searching biasanya digunakan untuk pencarian masalah yang berupa path,0.65
4,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching tidak dapat digunakan untuk menyelesaikan suatu permasalahan yang mencari sebuah path iterative search digunakan untuk mencari goal state yang berbentuk state memenuhi goal test yang ditentukan dengan bantuan fungsi heuristic sedangkan untuk non iterative searching merupakan sebaliknya,0.82
5,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching digunakan untuk pencarian secara iteratif atau menghasilkan berupa pathrangkaian sementara noniterative searching digunakan untuk pencarian yang tidak menghasilkan path,0.6
6,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative searching adalah pencarian berulang biasanya akan dapat menemukan lebih banyak kesamaan jarak jauh dengan urutan kueri daripada pencarian urutan tunggal,0.65
7,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative menggunakan hitungan dari awal sampe akhir sedangkan non iterative tidak,0.55
8,jelaskan perbedaan antara iterative searching dan non iterative searching,pada iterative searching dilakukan secara rekursif dan bertahap sedangkan non iterative akan memanggil fungsinya kembali,0.62
9,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan a iteratif menggunakan for while dowhile sedangkan rekursif hanya menggunakan if b iteratif dapat berjalan pada program yang terdiri dari prosedur tidak terdapat fungsi sedangkan rekursif merupakan fungsi,0.7
10,jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search dapat mencari masalah yang tidak memiliki path sedankan non iterative membutuhkan persoalan yang mempunyai path,0.75
11,jelaskan perbedaan antara iterative searching dan non iterative searching,iteratif searching digunakan untuk pencarian masalah yang bukan merupakan path lalu non iteratif searching digunakan untuk pencarian masalah karena cara kerjanya merupakan pemanggilan berulang dirinya sendiri untuk mencari pemecahan masalah terbaik,0.75
12,jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaanya dalam hal tujuan penggunaan non interative searching berguna untuk masalah yang mempunyai path sedangkan iterative searching berguna untuk masalah yang tidak mempunyai path seperti puzzle catur tumpukan,0.88
