,pertanyaan,jawaban,penilai 1,penilai 2
0,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search berjalan dengan mempertimbangkan nilai heuristik sehingga hasil yang didapat dapat mencapai cost yang minimal namun kelemahannya yaitu pada beberapa kasus informed search membutuhkan waktu yang lebih lama,95,80
1,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya informed search selaluau lebih baik dibandingkan uninformend search karena informed search banyak permasalahan dapat diselesaikan sedangkan uninformed search tidak bisa menyelesaikan permaasalahan uninformed search hanya sebatas mendefinisikan alogoritma permasalahan tersebut,80,80
2,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena informed search menggunakan pengetahuan yang spesifik kepada masalah yang dihadapi jadi dengan pengetahuan yang telah dimengerti proses pencarian menjadi lebih cepat dan mudah,85,80
3,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,karena pada informed search terdapat perhitungan estimation cost danatau actual cost sehingga solusi yang ditemukan selalu optimal sedangkan pada uninformed search hanya akan optimal jika path cost memiliki nilai yang sama saja,80,80
4,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena pencarian menggunakan informed search menggunakan metode yang disebut heuristik dimana knowledge yang spesifik pada permasalahan yang dihadapi daripada metode uniformed search,90,80
5,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya informed search menggunakan lebih banyak pertimbangan dibandingkan uninformed search misalnya harga path dan jarak antara node dengan goal sedangkan uninformed search mencoba semua jalur yang ada sehingga waktu yang diperlukan banyak bahkan belum tentu mencapai goal jika branch atau depth nya infinite,90,90
6,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,tidak semua kasus permasalahan dapat lebih baik digunakan dengan informed search karena terdapat beberapa kasus permasalahan juga yang dapat diselesaikan dengan lebih baik menggunakan uninformed search jadi setiap kasus permasalahan memiliki cara yang efektif dan efisien masingmasing baik itu uninformed maupun informed,95,90
7,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search mempunyai informasi tambahan sehingga akan lebih spesifik sedangkan uninformed search tidak sehingga sering disebut juga dengan blind search walaupun uninformed search dapat memecahkan masalah informed search akan lebih efisien,90,90
8,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search lebih baik dibandingkan uninformed search karena pencarian algoritma informed search menggunakan pengetahuan yang spesifik terhadap masalah yang dihadapi dan metode yang digunakan lebih sedikit dibandingkan uninformed search,85,80
9,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya karena informed search dengan bantuan informasi tambahan yang dimiliki pasti akan menemukan solusi lebih cepat,85,80
10,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena jika menggunakan uninformed search algorithm beberapa permasalahan dapat dipecahkan namun tidak semua algoritma dapat menyelesaikan permasalahan dengan efektif serta efisien sedangkan informed search yaitu algoritma yang menggunakan pengetahuan yang spesifik kepada permasalahan yang dihadapi selain dari definisi masalahnya itu sendiri,90,90
11,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,karena uninformaede mberikan informasi tentang permasalahan yang ada,40,50
12,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search menjadi solusi yang terbaik karena melihat cost dari pemecahan permasalahan sedangkan uninformed search itu hanya terfokus kepada masalah itu terselesaikan tanpa melihat cost atau biayanya,85,80
13,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search mungkin secara umum lebih baik dibandingkan dengan uninformed search tetapi tidak selalu ada satu hal yang informed search yaitu menemukan solusi yang tepat karena informed search mengandalkan fungsi heuristik sehingga kadangkala untuk penemuan solusi yang lebih tepat maka uninformed search bisa diunggulkan,85,90
14,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,uninformed search sering disebut juga dengan blind search istilah tersebut menggambarkan bahwa teknik pencarian ini tidak memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh permasalahan informed search algorithm disebut juga dengan heuristic search pencarian dengan algoritma ini menggunakan pengetahuan yang spesifik kepada permasalahan yang dihadapi selain dari definisi masalahnya itu sendiri tergantung dari suatu permasalahan yang akan dicari sehingga keefisiensian keduanya relatif,90,90
15,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,tidak selalu karena jika suatu pencarian data yang dicari tidak diawal atau berada diposisi pertama uninformed search akan lebih baik dibanding informed search,95,80
16,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena metode uninformed search belum tentu bisa digunakan untuk mengatasi permasalahan dengan ruang masalah yang besar sedangkan metode informed search menggunakan fungsi heuristik untuk mengatasi kelemahan pada uninformed search,90,90
17,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena solusi yang diberikan pada informed search adalah solusi yang optimal sedangkan pada uninformed search tidak memberikan informasi tentang permasalahan yang ada hanya sebatas definisi dari algoritma tersebut yang belum tentu solusinya efisien dan optimal,90,80
18,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya karena uninformed search algoritma yang tidak memberikan informasi tentang permasalahan yang ada hanya sebatas definisi dari algoritma tersebut,80,80
19,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,algoritma uninformed search tidak memiliki informasi tambahan tentang keadaan atau ruang pencarian selain cara melintasi pohon sehingga tidak lebih baik dari informed search informed search memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh definisi masalah yang dilakukan oleh algoritma ini adalah melakukan generate dari successor dan membedakan goal state dari nongoal state pencarian dilakukan berdasarkan pada urutan mana saja node yang hendak diexpand,90,80
20,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search tidak selalu tetapi biasanya lebih baik daripada uninformed search karena informed search menggunakan fungsi heuristik untuk mengatasi kelemahan pada blind search uninformed search,95,95
21,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,tidak selalu lebih baik informed search lebih efisien terhadap waktu tetapi tidak lebih efisien terhadap space complexity,90,80
22,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search tidak selalu lebih baik dibandingkan uninformed search jika dinilai dari memory and space kompleksitas,90,80
